Using cuda device
Rendering with rgb_array mode
Runing REDQ with N=5, G=5, M=2 and alpha=0.05
Recording video in outputs/LunarLander-v2/REDQ_alpha0.05_N5_G5_M2/experiment_2
[00:00:00] Ep: 1 | t: 143/200000 | Score: -332.24 | Avg Score: -332.24
[00:00:00] Ep: 2 | t: 281/200000 | Score: -171.54 | Avg Score: -251.89
[00:00:00] Ep: 3 | t: 421/200000 | Score: -97.50 | Avg Score: -200.43
[00:00:00] Ep: 4 | t: 563/200000 | Score: -561.05 | Avg Score: -290.58
[00:00:00] Ep: 5 | t: 678/200000 | Score: -336.29 | Avg Score: -299.72
[00:00:00] Ep: 6 | t: 825/200000 | Score: -110.69 | Avg Score: -268.22
[00:00:00] Ep: 7 | t: 949/200000 | Score: -166.37 | Avg Score: -253.67
[00:00:01] Ep: 8 | t: 1085/200000 | Score: -79.62 | Avg Score: -231.91
[00:00:01] Ep: 9 | t: 1202/200000 | Score: -413.63 | Avg Score: -252.10
[00:00:01] Ep: 10 | t: 1329/200000 | Score: -57.15 | Avg Score: -232.61
[00:00:01] Ep: 11 | t: 1488/200000 | Score: -258.75 | Avg Score: -234.98
[00:00:01] Ep: 12 | t: 1626/200000 | Score: -302.91 | Avg Score: -240.64
[00:00:01] Ep: 13 | t: 1795/200000 | Score: 17.42 | Avg Score: -220.79
[00:00:01] Ep: 14 | t: 1930/200000 | Score: -211.90 | Avg Score: -220.16
[00:00:01] Ep: 15 | t: 2093/200000 | Score: -316.10 | Avg Score: -226.55
[00:00:01] Ep: 16 | t: 2250/200000 | Score: -105.17 | Avg Score: -218.97
[00:00:01] Ep: 17 | t: 2404/200000 | Score: -205.66 | Avg Score: -218.18
[00:00:01] Ep: 18 | t: 2524/200000 | Score: -502.67 | Avg Score: -233.99
[00:00:01] Ep: 19 | t: 2666/200000 | Score: -404.50 | Avg Score: -242.96
[00:00:01] Ep: 20 | t: 2796/200000 | Score: -122.31 | Avg Score: -236.93
[00:00:01] Ep: 21 | t: 2949/200000 | Score: -267.69 | Avg Score: -238.40
